Calculating IDF values for terms...
--------------------------------------------------
Total Documents: 3204

Term: 'preliminari' | Document Frequency: 19
Term: 'preliminari' | Inverse Document Frequency: 2.226938906459371
Term: 'reportintern' | Document Frequency: 1
Term: 'reportintern' | Inverse Document Frequency: 3.5056925074122
Term: 'algebra' | Document Frequency: 71
Term: 'algebra' | Inverse Document Frequency: 1.6544341586931248
Term: 'languag' | Document Frequency: 402
Term: 'languag' | Inverse Document Frequency: 0.90146645432773
Term: 'perli' | Document Frequency: 12
Term: 'perli' | Inverse Document Frequency: 2.4265112613645754
Term: 'j' | Document Frequency: 791
Term: 'j' | Inverse Document Frequency: 0.6075160239145235
Term: 'samelson' | Document Frequency: 5
Term: 'samelson' | Inverse Document Frequency: 2.8067225030761813
Term: 'k' | Document Frequency: 1492
Term: 'k' | Inverse Document Frequency: 0.33192368427555
Term: 'extract' | Document Frequency: 21
Term: 'extract' | Inverse Document Frequency: 2.183473212678281
Term: 'root' | Document Frequency: 56
Term: 'root' | Inverse Document Frequency: 1.7575044804059996
Term: 'repeat' | Document Frequency: 10
Term: 'repeat' | Inverse Document Frequency: 2.5056925074122
Term: 'subtract' | Document Frequency: 11
Term: 'subtract' | Inverse Document Frequency: 2.464299822253975
Term: 'digit' | Document Frequency: 125
Term: 'digit' | Inverse Document Frequency: 1.4087824944041436
Term: 'comput' | Document Frequency: 905
Term: 'comput' | Inverse Document Frequency: 0.5490439282069968
Term: 'sugai' | Document Frequency: 1
Term: 'sugai' | Inverse Document Frequency: 3.5056925074122
Term: 'techniqu' | Document Frequency: 351
Term: 'techniqu' | Inverse Document Frequency: 0.960385390946376
Term: 'depart' | Document Frequency: 18
Term: 'depart' | Inverse Document Frequency: 2.250420002308894
Term: 'matrix' | Document Frequency: 154
Term: 'matrix' | Inverse Document Frequency: 1.318171786575737
Term: 'program' | Document Frequency: 833
Term: 'program' | Inverse Document Frequency: 0.5850475060054124
Term: 'scheme' | Document Frequency: 96
Term: 'scheme' | Inverse Document Frequency: 1.5234212743726316
Term: 'friedman' | Document Frequency: 7
Term: 'friedman' | Inverse Document Frequency: 2.660594467397943
Term: 'm' | Document Frequency: 481
Term: 'm' | Inverse Document Frequency: 0.8235474310383682
Term: 'd' | Document Frequency: 430
Term: 'd' | Inverse Document Frequency: 0.8722240518326135
Term: 'glossari' | Document Frequency: 7
Term: 'glossari' | Inverse Document Frequency: 2.660594467397943
Term: 'engin' | Document Frequency: 33
Term: 'engin' | Inverse Document Frequency: 1.9871785675343125
Term: 'terminolog' | Document Frequency: 18
Term: 'terminolog' | Inverse Document Frequency: 2.250420002308894
Term: 'two' | Document Frequency: 243
Term: 'two' | Inverse Document Frequency: 1.120086233813888
Term: 'squareroot' | Document Frequency: 3
Term: 'squareroot' | Inverse Document Frequency: 3.0285712526925375
Term: 'approxim' | Document Frequency: 137
Term: 'approxim' | Inverse Document Frequency: 1.3689719402557934
Term: 'wadei' | Document Frequency: 1
Term: 'wadei' | Inverse Document Frequency: 3.5056925074122
Term: 'w' | Document Frequency: 420
Term: 'w' | Inverse Document Frequency: 0.8824432170142996
Term: 'g' | Document Frequency: 351
Term: 'g' | Inverse Document Frequency: 0.960385390946376
Term: 'us' | Document Frequency: 845
Term: 'us' | Inverse Document Frequency: 0.5788357984625078
Term: 'inspect' | Document Frequency: 8
Term: 'inspect' | Inverse Document Frequency: 2.6026025204202563
Term: 'procedur' | Document Frequency: 236
Term: 'procedur' | Inverse Document Frequency: 1.1327805044420935
Term: 'muller' | Document Frequency: 8
Term: 'muller' | Inverse Document Frequency: 2.6026025204202563
Term: 'e' | Document Frequency: 320
Term: 'e' | Inverse Document Frequency: 1.000542529092294
Term: 'equival' | Document Frequency: 38
Term: 'equival' | Inverse Document Frequency: 1.92590891079539
Term: 'transform' | Document Frequency: 97
Term: 'transform' | Inverse Document Frequency: 1.5189207731459553
Term: 'propos' | Document Frequency: 176
Term: 'propos' | Inverse Document Frequency: 1.2601798395980501
Term: 'uncol' | Document Frequency: 2
Term: 'uncol' | Inverse Document Frequency: 3.204662511748219
Term: 'conwai' | Document Frequency: 10
Term: 'conwai' | Inverse Document Frequency: 2.5056925074122
Term: 'problem' | Document Frequency: 459
Term: 'problem' | Inverse Document Frequency: 0.8438798218749388
Term: 'commun' | Document Frequency: 92
Term: 'commun' | Inverse Document Frequency: 1.5419046800666447
Term: 'chang' | Document Frequency: 82
Term: 'chang' | Inverse Document Frequency: 1.5918786550284834
Term: 'machin' | Document Frequency: 170
Term: 'machin' | Inverse Document Frequency: 1.2752435860339262
Term: 'solutionpart' | Document Frequency: 1
Term: 'solutionpart' | Inverse Document Frequency: 3.5056925074122
Term: '2' | Document Frequency: 95
Term: '2' | Inverse Document Frequency: 1.5279689021233522
Term: 'strong' | Document Frequency: 13
Term: 'strong' | Inverse Document Frequency: 2.391749155105363
Term: 'wegstein' | Document Frequency: 7
Term: 'wegstein' | Inverse Document Frequency: 2.660594467397943
Term: 'tritter' | Document Frequency: 2
Term: 'tritter' | Inverse Document Frequency: 3.204662511748219
Term: 'olsztyn' | Document Frequency: 2
Term: 'olsztyn' | Inverse Document Frequency: 3.204662511748219
Term: 'mock' | Document Frequency: 2
Term: 'mock' | Inverse Document Frequency: 3.204662511748219
Term: 'o' | Document Frequency: 57
Term: 'o' | Inverse Document Frequency: 1.7498176517397086
Term: 'steel' | Document Frequency: 6
Term: 'steel' | Inverse Document Frequency: 2.727541257028556
Term: 't' | Document Frequency: 191
Term: 't' | Inverse Document Frequency: 1.2246591401644726
Term: 'error' | Document Frequency: 168
Term: 'error' | Inverse Document Frequency: 1.2803832256863372
Term: 'estim' | Document Frequency: 69
Term: 'estim' | Inverse Document Frequency: 1.6668434166749446
Term: 'rungekutta' | Document Frequency: 9
Term: 'rungekutta' | Inverse Document Frequency: 2.5514499979728753
Term: 'call' | Document Frequency: 103
Term: 'call' | Inverse Document Frequency: 1.4928552827070278
Term: 'h' | Document Frequency: 449
Term: 'h' | Inverse Document Frequency: 0.8534461664088769
Term: 'reev' | Document Frequency: 9
Term: 'reev' | Inverse Document Frequency: 2.5514499979728753
Term: 'r' | Document Frequency: 613
Term: 'r' | Inverse Document Frequency: 0.718232032893785
Term: 'f' | Document Frequency: 230
Term: 'f' | Inverse Document Frequency: 1.1439646713946072
Term: 'solut' | Document Frequency: 203
Term: 'solut' | Inverse Document Frequency: 1.198196469498987
Term: 'part' | Document Frequency: 103
Term: 'part' | Inverse Document Frequency: 1.4928552827070278
